session_id,source_file,module,count
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,PIL,3
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,__future__,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,collections,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,csv,7
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,datetime,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,glob,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,html,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,math,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,matplotlib,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,pandas,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,pathlib,4
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,statistics,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,struct,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,sys,1
session-vibe-01,logs/cases/step0-vibe/session-vibe-01.jsonl,zlib,1
