session_id,source_file,executable,count
双叉臂测试,logs/双叉臂测试.jsonl,apt-get,4
双叉臂测试,logs/双叉臂测试.jsonl,cat,2
双叉臂测试,logs/双叉臂测试.jsonl,cd,8
双叉臂测试,logs/双叉臂测试.jsonl,echo,10
双叉臂测试,logs/双叉臂测试.jsonl,google-chrome,18
双叉臂测试,logs/双叉臂测试.jsonl,grep,17
双叉臂测试,logs/双叉臂测试.jsonl,head,6
双叉臂测试,logs/双叉臂测试.jsonl,id,1
双叉臂测试,logs/双叉臂测试.jsonl,kill,11
双叉臂测试,logs/双叉臂测试.jsonl,ls,6
双叉臂测试,logs/双叉臂测试.jsonl,node,22
双叉臂测试,logs/双叉臂测试.jsonl,pip,1
双叉臂测试,logs/双叉臂测试.jsonl,pwd,1
双叉臂测试,logs/双叉臂测试.jsonl,python3,41
双叉臂测试,logs/双叉臂测试.jsonl,rm,4
双叉臂测试,logs/双叉臂测试.jsonl,sed,1
双叉臂测试,logs/双叉臂测试.jsonl,sleep,11
双叉臂测试,logs/双叉臂测试.jsonl,tail,7
双叉臂测试,logs/双叉臂测试.jsonl,timeout,1
双叉臂测试,logs/双叉臂测试.jsonl,true,6
双叉臂测试,logs/双叉臂测试.jsonl,wc,1
双叉臂测试,logs/双叉臂测试.jsonl,which,3
