session_id,source_file,module,count
session-case-01,logs/cases/step0/session-case-01.jsonl,decimal,1
session-case-01,logs/cases/step0/session-case-01.jsonl,json,1
session-case-02,logs/cases/step0/session-case-02.jsonl,json,1
session-case-02,logs/cases/step0/session-case-02.jsonl,pathlib,1
session-case-03,logs/cases/step0/session-case-03.jsonl,pathlib,1
session-case-03,logs/cases/step0/session-case-03.jsonl,zipfile,2
session-case-04,logs/cases/step0/session-case-04.jsonl,csv,1
session-case-04,logs/cases/step0/session-case-04.jsonl,decimal,1
session-case-04,logs/cases/step0/session-case-04.jsonl,pathlib,1
session-case-05,logs/cases/step0/session-case-05.jsonl,json,2
session-case-05,logs/cases/step0/session-case-05.jsonl,math,1
session-case-05,logs/cases/step0/session-case-05.jsonl,numpy,4
session-case-05,logs/cases/step0/session-case-05.jsonl,scipy,2
session-case-05,logs/cases/step0/session-case-05.jsonl,scipy.optimize,2
session-case-05,logs/cases/step0/session-case-05.jsonl,subprocess,1
session-case-05,logs/cases/step0/session-case-05.jsonl,sys,1
session-case-06,logs/cases/step0/session-case-06.jsonl,importlib.util,1
session-case-06,logs/cases/step0/session-case-06.jsonl,json,1
session-case-06,logs/cases/step0/session-case-06.jsonl,pathlib,1
session-case-07,logs/cases/step0/session-case-07.jsonl,PIL,4
session-case-07,logs/cases/step0/session-case-07.jsonl,__future__,1
session-case-07,logs/cases/step0/session-case-07.jsonl,collections,3
session-case-07,logs/cases/step0/session-case-07.jsonl,csv,3
session-case-07,logs/cases/step0/session-case-07.jsonl,datetime,3
session-case-07,logs/cases/step0/session-case-07.jsonl,json,1
session-case-07,logs/cases/step0/session-case-07.jsonl,math,2
session-case-07,logs/cases/step0/session-case-07.jsonl,matplotlib,2
session-case-07,logs/cases/step0/session-case-07.jsonl,pathlib,2
session-case-07,logs/cases/step0/session-case-07.jsonl,subprocess,1
session-case-07,logs/cases/step0/session-case-07.jsonl,sys,1
session-case-08,logs/cases/step0/session-case-08.jsonl,PIL,1
session-case-08,logs/cases/step0/session-case-08.jsonl,pathlib,1
session-case-08,logs/cases/step0/session-case-08.jsonl,struct,1
session-case-08,logs/cases/step0/session-case-08.jsonl,sys,2
session-case-08,logs/cases/step0/session-case-08.jsonl,verify,1
session-case-09,logs/cases/step0/session-case-09.jsonl,json,1
session-case-09,logs/cases/step0/session-case-09.jsonl,pathlib,1
session-case-11,logs/cases/step0/session-case-11.jsonl,importlib.util,1
session-case-11,logs/cases/step0/session-case-11.jsonl,pathlib,6
session-case-11,logs/cases/step0/session-case-11.jsonl,pypandoc,3
session-case-11,logs/cases/step0/session-case-11.jsonl,re,2
session-case-11,logs/cases/step0/session-case-11.jsonl,subprocess,1
session-case-11,logs/cases/step0/session-case-11.jsonl,weasyprint,1
session-case-12,logs/cases/step0/session-case-12.jsonl,collections,2
session-case-12,logs/cases/step0/session-case-12.jsonl,json,2
session-case-12,logs/cases/step0/session-case-12.jsonl,math,1
session-case-12,logs/cases/step0/session-case-12.jsonl,pathlib,2
session-case-12,logs/cases/step0/session-case-12.jsonl,subprocess,2
session-case-12,logs/cases/step0/session-case-12.jsonl,time,2
session-case-12,logs/cases/step0/session-case-12.jsonl,urllib.parse,2
session-case-12,logs/cases/step0/session-case-12.jsonl,urllib.request,3
