session_id,source_file,probe,count
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,chromium,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,chromium-browser,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,convert,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,google-chrome,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,gs,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,mutool,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,pagedjs,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,pandoc,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,pdfinfo,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,pdftoppm,2
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,pdftotext,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,prince,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,tesseract,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,weasyprint,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,wkhtmltopdf,1
session-vibe-02,logs/cases/step0-vibe/session-vibe-02.jsonl,xelatex,1
